Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W)
333,0.051,1054.0,43.52,619.0,1.06,0.0,0.0,0.0,0.051
334,0.03,1049.0,14.99,619.0,1.02,0.0,0.0,0.0,0.03
335,0.032,1048.0,16.04,619.0,1.06,0.0,0.0,0.0,0.032
336,0.028,1051.0,14.89,614.0,0.68,0.0,0.0,0.0,0.028
337,0.027,1053.0,14.67,614.0,0.68,0.0,0.0,0.0,0.027
338,0.038,1058.0,20.5,619.0,1.84,0.0,0.0,0.0,0.038
339,0.031,1051.0,12.93,618.0,1.67,0.0,0.0,0.0,0.031
340,0.038,1067.0,16.78,745.0,1.21,0.0,713.0,0.51,0.038
341,0.027,1033.0,12.31,617.0,1.16,0.0,0.0,0.0,0.027
342,0.018,1006.0,8.06,610.0,1.64,0.0,0.0,0.0,0.018
343,0.031,1056.0,12.35,609.0,1.56,0.0,704.0,0.22,0.031
344,0.094,1041.0,60.44,613.0,1.23,0.0,0.0,0.0,0.094
345,0.034,1049.0,14.54,618.0,1.28,0.0,0.0,0.0,0.034
346,0.029,1053.0,13.96,616.0,1.47,0.0,0.0,0.0,0.029
347,0.029,1057.0,14.81,609.0,1.07,0.0,0.0,0.0,0.029
