Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU HW active frequency MHz,GPU HW active residency %,Power (W),App CPU ms/s,ComponentB CPU ms/s
168,4.741,1673.0,16.49,3065.0,99.9,0.0,0.0,0.0,4.741,1274.19,1137.15
169,4.712,1656.0,15.22,3067.0,99.94,0.0,0.0,0.0,4.712,1247.69,1108.12
170,4.782,1695.0,12.47,3060.0,100.0,0.0,0.0,0.0,4.782,1258.96,1157.33
171,4.817,1629.0,23.6,3063.0,99.82,0.0,0.0,0.0,4.817,1258.4,1122.96
172,4.737,1680.0,14.38,3063.0,100.0,0.0,0.0,0.0,4.737,1255.32,1142.76
173,4.74,1710.0,15.76,3065.0,99.93,0.0,0.0,0.0,4.74,1267.59,1126.39
174,4.765,1606.0,13.91,3065.0,99.81,0.0,0.0,0.0,4.765,1263.25,1117.88
175,4.752,1710.0,13.37,3062.0,99.97,0.0,0.0,0.0,4.752,1258.96,1132.06
176,4.748,1675.0,14.4,3064.0,99.77,0.0,0.0,0.0,4.748,1265.56,1122.31
177,4.759,1651.0,16.49,3064.0,99.79,0.0,713.0,0.31,4.759,1268.38,1123.95
178,4.733,1712.0,16.39,3065.0,99.97,0.0,0.0,0.0,4.733,1259.99,1121.67
179,4.763,1673.0,15.02,3064.0,99.63,0.0,708.0,0.22,4.763,1267.26,1121.13
180,4.701,1676.0,17.99,3068.0,99.8,0.0,711.0,0.32,4.701,1263.33,1116.64
181,4.733,1670.0,16.67,3065.0,99.88,0.0,0.0,0.0,4.733,1273.68,1123.41
182,4.751,1665.0,13.86,3064.0,99.62,0.0,0.0,0.0,4.751,1255.97,1119.98
183,4.712,1661.0,16.14,3067.0,99.79,0.0,0.0,0.0,4.712,1260.98,1115.33
184,4.763,1675.0,12.59,3060.0,100.0,0.0,0.0,0.0,4.763,1253.97,1142.32
185,4.695,1635.0,15.59,3066.0,99.09,0.0,0.0,0.0,4.695,1239.76,1110.28
186,4.733,1697.0,15.96,3065.0,99.96,0.0,0.0,0.0,4.733,1275.4,1127.01
187,4.73,1651.0,16.22,3067.0,99.93,0.0,0.0,0.0,4.73,1263.39,1115.01
188,4.754,1672.0,13.75,3066.0,99.73,0.0,0.0,0.0,4.754,1267.92,1113.08
189,4.769,1680.0,14.18,3063.0,99.91,0.0,0.0,0.0,4.769,1265.62,1138.12
190,4.731,1683.0,16.59,3067.0,99.93,0.0,0.0,0.0,4.731,1258.29,1132.24
191,4.725,1624.0,14.4,3067.0,99.58,0.0,0.0,0.0,4.725,1256.23,1098.84
192,4.701,1720.0,16.44,3066.0,99.86,0.0,0.0,0.0,4.701,1252.72,1124.91
