Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W)
245,0.023,1037.0,9.2,612.0,1.31,0.0,0.0,0.0,0.023
246,0.025,1041.0,12.04,611.0,1.03,0.0,0.0,0.0,0.025
247,0.025,1040.0,10.59,611.0,1.08,0.0,0.0,0.0,0.025
248,0.028,1035.0,13.81,619.0,0.92,0.0,0.0,0.0,0.028
249,0.025,1036.0,11.09,619.0,0.9,0.0,0.0,0.0,0.025
250,0.026,1037.0,10.83,619.0,0.92,0.0,0.0,0.0,0.026
251,0.027,1038.0,12.46,619.0,0.91,0.0,0.0,0.0,0.027
252,0.026,1041.0,10.5,619.0,0.9,0.0,0.0,0.0,0.026
253,0.025,1042.0,10.75,617.0,1.26,0.0,0.0,0.0,0.025
254,0.054,1105.0,23.23,735.0,1.61,0.0,713.0,0.83,0.054
255,0.028,1035.0,10.59,616.0,1.29,0.0,0.0,0.0,0.028
256,0.025,1034.0,11.48,610.0,0.7,0.0,0.0,0.0,0.025
257,0.026,1038.0,9.84,614.0,1.36,0.0,0.0,0.0,0.026
258,0.026,1037.0,10.57,609.0,1.28,0.0,0.0,0.0,0.026
259,0.027,1038.0,10.61,611.0,1.09,0.0,0.0,0.0,0.027
260,0.022,1001.0,7.37,616.0,0.97,0.0,0.0,0.0,0.022
261,0.019,1006.0,6.0,611.0,1.07,0.0,0.0,0.0,0.019
262,0.028,1038.0,10.81,619.0,0.88,0.0,0.0,0.0,0.028
263,0.028,1041.0,10.47,619.0,0.88,0.0,0.0,0.0,0.028
264,0.043,1031.0,22.01,619.0,0.9,0.0,0.0,0.0,0.043
265,0.028,1038.0,10.46,618.0,1.0,0.0,0.0,0.0,0.028
266,0.026,1037.0,10.58,615.0,0.94,0.0,0.0,0.0,0.026
267,0.027,1043.0,9.58,618.0,1.32,0.0,0.0,0.0,0.027
268,0.026,1041.0,10.39,610.0,1.4,0.0,0.0,0.0,0.026
269,0.028,1038.0,10.42,611.0,1.22,0.0,0.0,0.0,0.028
270,0.029,1038.0,12.36,617.0,1.03,0.0,0.0,0.0,0.029
271,0.026,1039.0,11.11,612.0,0.81,0.0,0.0,0.0,0.026
272,0.027,1039.0,9.93,611.0,1.07,0.0,0.0,0.0,0.027
273,0.031,1040.0,13.38,617.0,1.15,0.0,0.0,0.0,0.031
274,0.027,1035.0,11.03,611.0,1.03,0.0,0.0,0.0,0.027
275,0.028,1037.0,10.34,618.0,1.28,0.0,0.0,0.0,0.028
276,0.026,1037.0,10.06,612.0,1.08,0.0,0.0,0.0,0.026
277,0.024,1020.0,8.19,615.0,0.89,0.0,0.0,0.0,0.024
278,0.014,993.0,3.49,610.0,1.43,0.0,0.0,0.0,0.014
279,0.026,1044.0,9.82,609.0,1.33,0.0,0.0,0.0,0.026
280,0.03,1042.0,14.22,607.0,1.11,0.0,0.0,0.0,0.03
281,0.026,1039.0,10.44,611.0,1.09,0.0,0.0,0.0,0.026
282,0.027,1035.0,11.01,619.0,0.9,0.0,0.0,0.0,0.027
283,0.028,1035.0,10.61,619.0,0.89,0.0,0.0,0.0,0.028
284,0.025,1036.0,12.15,614.0,0.52,0.0,0.0,0.0,0.025
285,0.027,1046.0,10.55,614.0,1.29,0.0,0.0,0.0,0.027
286,0.027,1038.0,10.76,611.0,1.06,0.0,0.0,0.0,0.027
287,0.026,1035.0,12.73,614.0,0.49,0.0,0.0,0.0,0.026
288,0.037,1054.0,12.39,725.0,1.33,0.001,714.0,0.51,0.038
289,0.028,1044.0,13.02,624.0,1.05,0.001,703.0,0.22,0.029
290,0.027,1040.0,12.36,619.0,0.95,0.0,0.0,0.0,0.027
291,0.025,1043.0,10.6,617.0,1.35,0.0,0.0,0.0,0.025
292,0.027,1039.0,11.73,610.0,1.11,0.0,0.0,0.0,0.027
293,0.039,1044.0,33.87,617.0,1.31,0.0,0.0,0.0,0.039
