Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentB CPU ms/s,Adapted
107,4.808,1679.0,21.19,3068.0,99.82,0.0,709.0,0.22,4.808,1253.64,1154.86,false
108,4.88,1716.0,31.89,3067.0,99.69,0.0,0.0,0.0,4.88,1246.01,1156.35,false
109,4.814,1678.0,21.55,3067.0,99.86,0.0,709.0,0.22,4.814,1250.54,1154.05,false
110,4.81,1701.0,20.98,3068.0,99.86,0.0,0.0,0.0,4.81,1252.03,1151.3,false
111,4.816,1684.0,21.26,3067.0,99.9,0.0,0.0,0.0,4.816,1262.91,1150.83,false
112,4.824,1691.0,20.34,3067.0,100.0,0.0,0.0,0.0,4.824,1258.33,1152.14,false
113,4.819,1667.0,20.35,3067.0,100.0,0.0,0.0,0.0,4.819,1256.76,1152.08,false
114,4.855,1705.0,25.01,3066.0,100.0,0.0,708.0,0.22,4.855,1256.53,1151.53,false
115,4.882,1692.0,26.85,3065.0,100.0,0.0,0.0,0.0,4.882,1254.55,1145.75,false
116,4.75,1711.0,25.53,3071.0,99.41,0.0,0.0,0.0,4.75,1240.89,1159.0,false
117,4.813,1655.0,21.2,3067.0,100.0,0.0,0.0,0.0,4.813,1249.39,1151.74,false
118,4.831,1679.0,20.35,3066.0,100.0,0.0,0.0,0.0,4.831,1261.6,1146.76,false
119,4.857,1672.0,20.39,3066.0,100.0,0.0,0.0,0.0,4.857,1254.0,1149.17,false
120,4.807,1692.0,22.63,3068.0,99.86,0.0,713.0,0.31,4.807,1245.4,1159.9,false
121,4.837,1669.0,20.62,3066.0,100.0,0.0,0.0,0.0,4.837,1273.3,1154.74,false
122,4.832,1678.0,20.35,3066.0,100.0,0.0,708.0,0.22,4.832,1256.19,1150.4,false
123,4.829,1667.0,18.68,3066.0,100.0,0.0,0.0,0.0,4.829,1236.62,1152.67,false
124,4.823,1677.0,30.88,3068.0,99.77,0.0,0.0,0.0,4.823,1239.96,1155.43,false
125,4.822,1656.0,18.65,3066.0,100.0,0.0,0.0,0.0,4.822,1257.76,1148.97,false
126,4.739,1689.0,19.09,3070.0,99.69,0.0,0.0,0.0,4.739,1227.16,1151.74,false
127,4.848,1677.0,20.1,3066.0,100.0,0.0,0.0,0.0,4.848,1265.53,1152.22,false
128,4.837,1690.0,19.61,3067.0,100.0,0.0,0.0,0.0,4.837,1260.25,1152.01,false
129,4.841,1658.0,19.89,3066.0,100.0,0.0,0.0,0.0,4.841,1259.6,1147.25,false
130,4.827,1666.0,20.78,3067.0,100.0,0.0,0.0,0.0,4.827,1247.38,1148.13,false
131,4.819,1666.0,20.65,3067.0,100.0,0.0,0.0,0.0,4.819,1250.7,1151.25,false
132,4.857,1682.0,19.82,3066.0,100.0,0.0,0.0,0.0,4.857,1253.82,1157.23,false
133,4.851,1664.0,19.68,3066.0,100.0,0.0,0.0,0.0,4.851,1266.5,1154.25,false
134,4.821,1685.0,18.69,3067.0,100.0,0.0,0.0,0.0,4.821,1250.9,1150.34,false
135,4.819,1667.0,20.5,3067.0,99.85,0.0,712.0,0.31,4.819,1247.35,1151.83,false
136,4.821,1675.0,21.28,3067.0,99.87,0.0,0.0,0.0,4.821,1262.77,1151.29,false
137,5.042,1704.0,22.67,3064.0,99.83,0.0,709.0,0.22,5.042,1232.29,1140.48,false
138,4.834,1685.0,19.68,3067.0,100.0,0.0,0.0,0.0,4.834,1254.19,1150.87,false
139,4.8,1695.0,22.69,3068.0,99.86,0.0,0.0,0.0,4.8,1255.5,1154.98,false
140,4.827,1692.0,21.41,3067.0,99.87,0.0,0.0,0.0,4.827,1257.81,1150.51,false
141,4.834,1687.0,22.51,3067.0,99.85,0.0,0.0,0.0,4.834,1253.14,1150.85,false
142,4.805,1694.0,24.34,3068.0,99.74,0.0,709.0,0.22,4.805,1250.87,1152.22,false
143,4.85,1698.0,21.03,3066.0,100.0,0.0,0.0,0.0,4.85,1257.08,1150.28,false
144,4.842,1668.0,19.86,3066.0,100.0,0.0,0.0,0.0,4.842,1252.88,1150.23,false
145,4.812,1682.0,19.61,3067.0,99.82,0.0,0.0,0.0,4.812,1250.43,1151.03,false
146,4.806,1657.0,16.9,3067.0,100.0,0.0,0.0,0.0,4.806,1248.65,1150.02,false
