Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s
122,4.926,1831.0,37.11,3063.0,100.0,0.0,0.0,0.0,4.926,183.44,1143.42,1153.25
123,4.895,1840.0,18.72,3055.0,100.0,0.0,0.0,0.0,4.895,166.56,1133.06,1140.39
124,4.939,1849.0,18.74,3055.0,100.0,0.0,0.0,0.0,4.939,191.55,1141.35,1147.31
125,4.897,1817.0,20.29,3059.0,100.0,0.0,0.0,0.0,4.897,191.83,1143.66,1147.02
126,4.903,1829.0,17.53,3058.0,100.0,0.0,0.0,0.0,4.903,191.98,1155.31,1155.57
127,4.919,1885.0,21.06,3057.0,100.0,0.0,0.0,0.0,4.919,191.47,1138.76,1146.5
128,4.926,1749.0,21.74,3063.0,100.0,0.002,712.0,0.32,4.928,185.0,1151.04,1154.83
129,4.922,1899.0,20.19,3056.0,100.0,0.0,0.0,0.0,4.922,191.42,1143.82,1144.13
130,4.926,1949.0,18.61,3055.0,100.0,0.0,0.0,0.0,4.926,189.5,1140.88,1141.61
131,4.938,1958.0,18.55,3055.0,100.0,0.0,0.0,0.0,4.938,191.07,1141.46,1151.81
132,4.871,1928.0,23.43,3062.0,100.0,0.0,0.0,0.0,4.871,188.44,1140.82,1144.91
133,4.931,1865.0,21.28,3056.0,100.0,0.0,0.0,0.0,4.931,192.93,1138.39,1151.34
134,4.93,1960.0,18.95,3055.0,100.0,0.0,0.0,0.0,4.93,190.1,1143.38,1144.56
135,4.887,1822.0,26.28,3064.0,100.0,0.0,0.0,0.0,4.887,196.58,1148.11,1151.91
136,4.936,1850.0,18.87,3055.0,100.0,0.0,0.0,0.0,4.936,191.54,1139.18,1146.12
137,4.943,1935.0,29.16,3058.0,100.0,0.0,0.0,0.0,4.943,192.94,1141.53,1140.02
138,4.92,1788.0,23.38,3063.0,100.0,0.0,0.0,0.0,4.92,197.98,1145.97,1156.88
139,4.88,1918.0,21.66,3060.0,100.0,0.0,0.0,0.0,4.88,188.47,1144.37,1149.53
140,4.901,1809.0,22.89,3062.0,100.0,0.0,0.0,0.0,4.901,190.87,1144.37,1146.47
141,4.88,1888.0,23.27,3059.0,100.0,0.0,0.0,0.0,4.88,192.13,1145.05,1142.57
142,4.915,1870.0,21.56,3058.0,100.0,0.0,0.0,0.0,4.915,193.3,1143.62,1151.62
143,4.942,1934.0,19.55,3055.0,100.0,0.0,0.0,0.0,4.942,193.71,1132.89,1148.81
144,4.902,1849.0,20.08,3058.0,100.0,0.0,0.0,0.0,4.902,191.26,1149.58,1138.09
145,4.933,1927.0,17.13,3055.0,100.0,0.0,0.0,0.0,4.933,189.82,1143.56,1149.66
146,4.885,1898.0,17.76,3059.0,100.0,0.0,0.0,0.0,4.885,187.71,1135.85,1150.85
147,4.938,1964.0,18.41,3055.0,100.0,0.0,0.0,0.0,4.938,190.18,1143.59,1141.21
148,4.929,1951.0,18.68,3055.0,100.0,0.0,0.0,0.0,4.929,190.06,1142.89,1142.07
149,4.976,1836.0,25.59,3058.0,100.0,0.0,0.0,0.0,4.976,194.51,1144.33,1157.45
150,5.483,1864.0,100.0,3057.0,100.0,0.001,711.0,0.53,5.484,199.95,1152.48,1151.92
151,5.112,1878.0,48.15,3055.0,100.0,0.0,0.0,0.0,5.112,195.62,1141.43,1148.33
152,4.896,1862.0,22.08,3059.0,100.0,0.0,0.0,0.0,4.896,192.55,1137.62,1147.59
153,4.906,1860.0,20.35,3057.0,100.0,0.0,0.0,0.0,4.906,170.96,1143.13,1138.75
154,4.908,1917.0,20.16,3056.0,100.0,0.0,0.0,0.0,4.908,177.53,1140.03,1155.16
155,4.94,1971.0,18.48,3055.0,100.0,0.0,0.0,0.0,4.94,189.43,1142.06,1143.4
156,4.921,1853.0,21.03,3058.0,100.0,0.0,0.0,0.0,4.921,192.86,1142.42,1140.83
157,4.922,1901.0,21.03,3060.0,100.0,0.0,0.0,0.0,4.922,186.43,1154.36,1148.89
158,4.92,1898.0,21.08,3060.0,100.0,0.0,0.0,0.0,4.92,188.73,1134.26,1149.23
159,4.937,1867.0,22.59,3058.0,100.0,0.0,710.0,0.43,4.937,195.1,1147.63,1156.8
160,4.915,1825.0,21.82,3058.0,100.0,0.0,0.0,0.0,4.915,193.26,1145.63,1145.83
161,4.918,1797.0,21.37,3062.0,100.0,0.0,0.0,0.0,4.918,191.61,1141.53,1147.44
