Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,Adapted
188,3.245,1112.0,12.0,3179.0,100.0,0.0,0.0,0.0,3.245,1159.62,false
189,3.244,1087.0,12.15,3179.0,100.0,0.0,0.0,0.0,3.244,1153.75,false
190,3.246,1121.0,11.98,3179.0,100.0,0.0,0.0,0.0,3.246,1158.51,false
191,3.251,1107.0,12.37,3179.0,100.0,0.0,0.0,0.0,3.251,1165.06,false
192,3.249,1134.0,12.2,3179.0,100.0,0.0,0.0,0.0,3.249,1159.08,false
193,3.508,1113.0,13.23,3173.0,100.0,0.0,0.0,0.0,3.508,1159.44,false
194,3.252,1133.0,12.01,3179.0,100.0,0.0,0.0,0.0,3.252,1157.41,false
195,3.271,1132.0,23.12,3179.0,100.0,0.0,0.0,0.0,3.271,1160.12,false
196,3.258,1154.0,12.29,3179.0,100.0,0.0,0.0,0.0,3.258,1149.87,false
197,3.249,1079.0,12.1,3179.0,100.0,0.0,0.0,0.0,3.249,1161.84,false
198,3.257,1129.0,12.08,3179.0,100.0,0.0,0.0,0.0,3.257,1159.58,false
199,3.241,1107.0,12.14,3178.0,100.0,0.0,0.0,0.0,3.241,1163.37,false
200,3.255,1127.0,12.5,3179.0,100.0,0.0,0.0,0.0,3.255,1158.64,false
201,3.215,1065.0,10.17,3179.0,100.0,0.002,716.0,0.61,3.217,1149.58,false
202,3.25,1100.0,9.21,3179.0,100.0,0.0,0.0,0.0,3.25,1165.65,false
203,3.239,1108.0,12.42,3179.0,100.0,0.0,0.0,0.0,3.239,1159.64,false
204,3.247,1107.0,12.13,3179.0,100.0,0.0,0.0,0.0,3.247,1153.34,false
205,3.25,1121.0,11.77,3179.0,100.0,0.0,0.0,0.0,3.25,1159.5,false
206,3.248,1082.0,12.46,3179.0,100.0,0.0,0.0,0.0,3.248,1161.43,false
207,3.244,1124.0,12.08,3179.0,100.0,0.0,0.0,0.0,3.244,1152.24,false
208,3.245,1084.0,12.0,3179.0,100.0,0.0,0.0,0.0,3.245,1164.17,false
209,3.252,1117.0,12.24,3179.0,100.0,0.0,0.0,0.0,3.252,1149.55,false
210,3.236,1103.0,11.9,3179.0,100.0,0.0,0.0,0.0,3.236,1163.4,false
211,3.251,1122.0,13.0,3179.0,100.0,0.0,0.0,0.0,3.251,1159.23,false
212,3.246,1111.0,12.62,3179.0,100.0,0.0,0.0,0.0,3.246,1153.07,false
213,3.248,1091.0,12.05,3178.0,100.0,0.0,0.0,0.0,3.248,1164.51,false
214,3.243,1121.0,12.05,3179.0,100.0,0.0,0.0,0.0,3.243,1150.67,false
215,3.245,1102.0,12.52,3178.0,100.0,0.0,0.0,0.0,3.245,1166.55,false
216,3.258,1136.0,12.4,3179.0,100.0,0.0,0.0,0.0,3.258,1157.39,false
217,3.233,1085.0,12.19,3178.0,100.0,0.0,0.0,0.0,3.233,1159.44,false
218,3.251,1115.0,11.94,3179.0,100.0,0.0,0.0,0.0,3.251,1158.71,false
219,3.239,1118.0,12.03,3179.0,100.0,0.0,0.0,0.0,3.239,1156.78,false
220,3.216,1052.0,8.31,3179.0,100.0,0.0,0.0,0.0,3.216,1159.46,false
221,3.244,1145.0,10.18,3179.0,100.0,0.0,0.0,0.0,3.244,1150.43,false
222,3.247,1091.0,12.28,3178.0,100.0,0.0,0.0,0.0,3.247,1162.31,false
223,3.254,1143.0,11.86,3179.0,100.0,0.0,0.0,0.0,3.254,1156.71,false
224,3.242,1115.0,15.68,3179.0,100.0,0.0,0.0,0.0,3.242,1159.24,false
225,3.267,1109.0,22.68,3179.0,100.0,0.0,0.0,0.0,3.267,1163.52,false
226,3.248,1121.0,12.48,3179.0,100.0,0.0,0.0,0.0,3.248,1150.99,false
227,3.259,1100.0,15.25,3179.0,100.0,0.0,0.0,0.0,3.259,1163.13,false
228,3.263,1144.0,12.88,3179.0,100.0,0.0,0.0,0.0,3.263,1161.74,false
229,3.245,1080.0,12.26,3179.0,100.0,0.0,0.0,0.0,3.245,1150.96,false
230,3.248,1135.0,12.39,3179.0,100.0,0.0,0.0,0.0,3.248,1166.78,false
231,3.316,1169.0,16.7,3177.0,100.0,0.0,0.0,0.0,3.316,1155.06,false
232,3.238,1115.0,13.56,3179.0,100.0,0.001,714.0,0.41,3.239,1157.0,false
233,3.253,1128.0,12.12,3179.0,100.0,0.0,0.0,0.0,3.253,1153.0,false
234,3.232,1102.0,12.24,3179.0,100.0,0.0,0.0,0.0,3.232,1158.69,false
235,3.241,1107.0,12.11,3179.0,100.0,0.0,0.0,0.0,3.241,1157.62,false
236,3.242,1114.0,12.24,3179.0,100.0,0.0,0.0,0.0,3.242,1162.63,false
237,3.249,1099.0,13.14,3179.0,100.0,0.0,0.0,0.0,3.249,1160.22,false
238,3.255,1130.0,11.86,3179.0,100.0,0.0,0.0,0.0,3.255,1158.65,false
239,3.214,1055.0,7.17,3179.0,100.0,0.0,0.0,0.0,3.214,1151.16,false
240,3.238,1122.0,11.38,3179.0,100.0,0.0,0.0,0.0,3.238,1162.95,false
241,3.247,1127.0,12.24,3179.0,100.0,0.0,0.0,0.0,3.247,1154.82,false
242,3.229,1106.0,12.37,3179.0,100.0,0.0,0.0,0.0,3.229,1156.37,false
243,3.239,1107.0,12.0,3179.0,100.0,0.0,0.0,0.0,3.239,1160.11,false
244,3.241,1122.0,12.11,3179.0,100.0,0.0,0.0,0.0,3.241,1150.07,false
245,3.24,1083.0,12.77,3179.0,100.0,0.0,0.0,0.0,3.24,1165.22,false
246,3.256,1109.0,12.31,3179.0,100.0,0.0,0.0,0.0,3.256,1159.37,false
247,3.237,1110.0,12.04,3179.0,100.0,0.0,0.0,0.0,3.237,1155.69,false
248,3.233,1095.0,11.92,3179.0,100.0,0.0,0.0,0.0,3.233,1160.17,false
249,3.268,1168.0,15.85,3179.0,100.0,0.0,0.0,0.0,3.268,1148.13,false
250,3.244,1160.0,12.26,3179.0,100.0,0.0,0.0,0.0,3.244,1160.95,false
251,3.324,1188.0,36.47,3178.0,100.0,0.0,0.0,0.0,3.324,1161.81,false
252,3.265,1179.0,12.25,3179.0,100.0,0.0,712.0,0.32,3.265,1156.98,false
253,3.28,1206.0,19.19,3179.0,100.0,0.0,0.0,0.0,3.28,1161.22,false
254,3.3,1195.0,24.06,3179.0,100.0,0.0,709.0,0.22,3.3,1154.6,false
255,3.262,1126.0,12.35,3179.0,100.0,0.0,0.0,0.0,3.262,1158.91,false
256,3.233,1140.0,12.47,3179.0,100.0,0.0,0.0,0.0,3.233,1159.33,false
257,3.255,1121.0,10.04,3179.0,100.0,0.0,710.0,0.22,3.255,1155.06,false
258,3.244,1128.0,10.81,3179.0,100.0,0.0,0.0,0.0,3.244,1152.38,false
259,3.242,1170.0,12.09,3179.0,100.0,0.0,0.0,0.0,3.242,1165.9,false
260,3.242,1180.0,13.12,3179.0,100.0,0.0,713.0,0.32,3.242,1155.41,false
261,3.228,1150.0,12.0,3179.0,100.0,0.0,0.0,0.0,3.228,1158.63,false
262,3.241,1153.0,12.35,3179.0,100.0,0.0,0.0,0.0,3.241,1152.84,false
263,3.247,1149.0,11.67,3179.0,100.0,0.0,0.0,0.0,3.247,1160.64,false
264,3.232,1151.0,12.14,3179.0,100.0,0.0,0.0,0.0,3.232,1156.44,false
265,3.242,1166.0,12.16,3179.0,100.0,0.0,0.0,0.0,3.242,1156.53,false
266,3.25,1138.0,11.82,3179.0,100.0,0.0,0.0,0.0,3.25,1150.44,false
267,3.224,1164.0,12.14,3179.0,100.0,0.0,0.0,0.0,3.224,1167.04,false
268,3.239,1116.0,11.73,3179.0,100.0,0.0,0.0,0.0,3.239,1156.11,false
269,3.258,1174.0,13.52,3179.0,100.0,0.0,0.0,0.0,3.258,1149.42,false
270,3.242,1130.0,11.72,3179.0,100.0,0.0,0.0,0.0,3.242,1161.12,false
