Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s
145,3.301,1134.0,5.85,3173.0,100.0,0.0,0.0,0.0,3.301,1221.73
146,3.313,1106.0,6.15,3172.0,100.0,0.0,0.0,0.0,3.313,1240.26
147,3.321,1170.0,5.86,3172.0,100.0,0.0,0.0,0.0,3.321,1233.73
148,3.297,1112.0,5.59,3173.0,100.0,0.0,0.0,0.0,3.297,1225.68
149,3.309,1135.0,5.6,3173.0,100.0,0.0,0.0,0.0,3.309,1227.42
150,3.306,1146.0,5.55,3173.0,100.0,0.0,0.0,0.0,3.306,1222.98
151,3.318,1090.0,5.98,3172.0,100.0,0.0,0.0,0.0,3.318,1237.42
152,3.337,1116.0,5.86,3172.0,100.0,0.0,0.0,0.0,3.337,1227.54
153,3.327,1100.0,5.63,3172.0,100.0,0.0,0.0,0.0,3.327,1233.88
154,3.316,1123.0,5.78,3172.0,100.0,0.0,0.0,0.0,3.316,1244.64
155,3.295,1144.0,5.78,3174.0,100.0,0.0,0.0,0.0,3.295,1220.96
156,3.34,1152.0,11.75,3173.0,99.92,0.0,0.0,0.0,3.34,1225.6
157,3.353,1138.0,11.62,3172.0,100.0,0.0,0.0,0.0,3.353,1237.15
158,3.316,1097.0,5.83,3173.0,100.0,0.0,0.0,0.0,3.316,1219.1
159,3.3,1134.0,5.95,3173.0,100.0,0.0,0.0,0.0,3.3,1224.62
160,3.328,1144.0,6.18,3173.0,100.0,0.0,0.0,0.0,3.328,1230.33
161,3.318,1133.0,5.9,3173.0,100.0,0.0,0.0,0.0,3.318,1222.9
162,3.336,1146.0,6.4,3172.0,100.0,0.0,0.0,0.0,3.336,1228.81
163,3.3,1121.0,5.71,3173.0,100.0,0.0,0.0,0.0,3.3,1218.55
164,3.328,1138.0,7.44,3172.0,100.0,0.002,712.0,0.63,3.33,1231.99
165,3.318,1143.0,5.67,3172.0,100.0,0.0,709.0,0.22,3.318,1240.29
166,3.325,1142.0,7.38,3171.0,99.53,0.0,0.0,0.0,3.325,1231.25
167,3.343,1159.0,5.74,3173.0,100.0,0.0,0.0,0.0,3.343,1230.14
168,3.31,1107.0,5.69,3172.0,100.0,0.0,0.0,0.0,3.31,1223.53
169,3.326,1147.0,5.74,3173.0,100.0,0.0,0.0,0.0,3.326,1227.88
170,3.291,1100.0,5.62,3174.0,100.0,0.0,0.0,0.0,3.291,1226.51
171,3.311,1144.0,6.04,3173.0,100.0,0.0,0.0,0.0,3.311,1225.67
172,3.294,1093.0,6.28,3173.0,100.0,0.0,0.0,0.0,3.294,1227.3
