Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W)
254,0.029,1051.0,15.29,611.0,1.04,0.0,0.0,0.0,0.029
255,0.031,1055.0,15.27,610.0,1.4,0.0,0.0,0.0,0.031
256,0.028,1032.0,11.93,611.0,0.8,0.0,0.0,0.0,0.028
257,0.033,1053.0,12.39,620.0,1.43,0.0,0.0,0.0,0.033
258,0.031,1053.0,14.54,618.0,1.0,0.0,0.0,0.0,0.031
259,0.033,1051.0,16.51,618.0,0.99,0.0,0.0,0.0,0.033
260,0.033,1053.0,14.34,622.0,1.57,0.0,0.0,0.0,0.033
261,0.029,1047.0,13.8,618.0,1.08,0.0,0.0,0.0,0.029
262,0.029,1049.0,14.86,615.0,1.02,0.0,0.0,0.0,0.029
263,0.032,1056.0,13.38,619.0,1.74,0.0,0.0,0.0,0.032
264,0.031,1048.0,14.46,614.0,1.76,0.0,0.0,0.0,0.031
265,0.028,1059.0,14.55,613.0,0.98,0.0,0.0,0.0,0.028
266,0.029,1033.0,15.23,607.0,1.03,0.0,0.0,0.0,0.029
267,0.016,997.0,7.35,610.0,1.26,0.0,0.0,0.0,0.016
268,0.044,1049.0,35.33,612.0,1.08,0.0,0.0,0.0,0.044
269,0.037,1051.0,18.38,620.0,1.12,0.0,0.0,0.0,0.037
270,0.035,1057.0,17.51,617.0,1.63,0.0,0.0,0.0,0.035
271,0.118,1051.0,98.03,608.0,1.21,0.0,0.0,0.0,0.118
272,0.13,1057.0,99.51,609.0,1.13,0.0,0.0,0.0,0.13
273,0.204,1065.0,99.69,653.0,1.47,0.0,712.0,0.41,0.204
274,0.121,1050.0,99.69,608.0,1.18,0.0,0.0,0.0,0.121
275,0.209,1057.0,99.78,609.0,1.38,0.0,0.0,0.0,0.209
276,0.122,1043.0,99.84,609.0,1.16,0.0,0.0,0.0,0.122
277,0.188,1049.0,99.72,608.0,1.17,0.0,0.0,0.0,0.188
278,0.098,1059.0,73.65,609.0,1.11,0.0,704.0,0.22,0.098
279,0.068,1113.0,23.7,614.0,1.08,0.0,0.0,0.0,0.068
280,0.039,1064.0,16.38,620.0,1.94,0.0,705.0,0.22,0.039
281,0.032,1049.0,15.67,612.0,1.13,0.0,0.0,0.0,0.032
282,0.031,1051.0,16.09,618.0,1.01,0.0,0.0,0.0,0.031
283,0.03,1052.0,14.83,615.0,0.93,0.0,0.0,0.0,0.03
284,0.019,991.0,8.39,608.0,1.12,0.0,591.0,0.02,0.019
285,0.081,1066.0,23.74,718.0,7.31,0.0,720.0,0.19,0.081
286,0.032,1059.0,15.76,615.0,1.42,0.0,704.0,0.22,0.032
287,0.03,1048.0,15.45,612.0,1.4,0.0,0.0,0.0,0.03
288,0.03,1053.0,15.34,616.0,1.04,0.0,0.0,0.0,0.03
289,0.03,1046.0,14.88,615.0,1.26,0.0,0.0,0.0,0.03
290,0.03,1058.0,13.35,618.0,1.92,0.0,0.0,0.0,0.03
291,0.032,1052.0,15.94,613.0,1.53,0.0,711.0,0.42,0.032
292,0.041,1075.0,18.85,620.0,2.05,0.0,709.0,0.32,0.041
293,0.031,1056.0,14.24,620.0,1.95,0.0,0.0,0.0,0.031
294,0.031,1047.0,14.52,612.0,1.34,0.0,0.0,0.0,0.031
295,0.029,1056.0,14.53,614.0,1.34,0.0,0.0,0.0,0.029
296,0.03,1037.0,12.91,608.0,0.85,0.0,0.0,0.0,0.03
297,0.047,1038.0,27.7,617.0,1.02,0.0,0.0,0.0,0.047
298,0.031,1050.0,15.2,618.0,1.07,0.0,0.0,0.0,0.031
299,0.029,1052.0,15.58,613.0,0.86,0.0,0.0,0.0,0.029
300,0.03,1054.0,13.72,620.0,1.01,0.0,0.0,0.0,0.03
301,0.027,1031.0,11.56,618.0,1.56,0.0,0.0,0.0,0.027
302,0.018,1005.0,7.98,611.0,1.09,0.0,0.0,0.0,0.018
303,0.031,1052.0,12.39,621.0,1.8,0.0,0.0,0.0,0.031
304,0.029,1049.0,16.33,611.0,0.77,0.0,0.0,0.0,0.029
305,0.03,1060.0,13.84,618.0,1.76,0.0,0.0,0.0,0.03
306,0.03,1051.0,13.33,613.0,1.88,0.0,0.0,0.0,0.03
307,0.03,1049.0,14.31,614.0,1.4,0.0,0.0,0.0,0.03
308,0.031,1051.0,15.43,614.0,1.78,0.0,0.0,0.0,0.031
309,0.029,1054.0,14.62,612.0,1.16,0.0,0.0,0.0,0.029
310,0.031,1055.0,13.11,620.0,1.84,0.0,0.0,0.0,0.031
311,0.03,1057.0,13.74,617.0,1.66,0.0,0.0,0.0,0.03
312,0.03,1050.0,14.67,619.0,0.98,0.0,0.0,0.0,0.03
313,0.032,1056.0,16.16,618.0,1.0,0.0,0.0,0.0,0.032
314,0.03,1051.0,14.5,618.0,0.98,0.0,0.0,0.0,0.03
315,0.029,1053.0,14.52,619.0,0.95,0.0,0.0,0.0,0.029
316,0.034,1037.0,12.92,618.0,1.07,0.0,0.0,0.0,0.034
317,0.029,1052.0,13.49,611.0,0.83,0.0,0.0,0.0,0.029
318,0.026,1033.0,11.63,610.0,1.73,0.0,0.0,0.0,0.026
319,0.019,1006.0,8.32,609.0,1.31,0.0,0.0,0.0,0.019
320,0.03,1046.0,14.21,612.0,1.36,0.0,0.0,0.0,0.03
321,0.03,1060.0,14.26,615.0,0.99,0.0,0.0,0.0,0.03
322,0.039,1059.0,15.53,636.0,0.91,0.0,711.0,0.42,0.039
323,0.054,1152.0,24.07,702.0,1.91,0.0,0.0,0.0,0.054
324,0.031,1058.0,15.95,618.0,1.14,0.0,0.0,0.0,0.031
325,0.029,1055.0,15.95,611.0,0.71,0.0,0.0,0.0,0.029
326,0.034,1056.0,17.02,613.0,0.96,0.0,0.0,0.0,0.034
327,0.04,1048.0,31.71,607.0,1.03,0.0,0.0,0.0,0.04
328,0.029,1047.0,13.68,608.0,1.05,0.0,0.0,0.0,0.029
329,0.03,1051.0,12.48,610.0,1.52,0.0,0.0,0.0,0.03
330,0.03,1055.0,12.25,610.0,1.6,0.0,0.0,0.0,0.03
331,0.027,1038.0,13.79,609.0,0.81,0.0,0.0,0.0,0.027
332,0.029,1052.0,12.77,615.0,1.33,0.0,0.0,0.0,0.029
333,0.028,1043.0,12.99,613.0,1.4,0.0,0.0,0.0,0.028
334,0.03,1048.0,15.81,614.0,1.05,0.0,0.0,0.0,0.03
335,0.028,1041.0,12.44,615.0,0.99,0.0,0.0,0.0,0.028
336,0.018,1000.0,9.56,609.0,1.3,0.0,0.0,0.0,0.018
337,0.029,1039.0,9.65,609.0,1.52,0.0,0.0,0.0,0.029
338,0.029,1052.0,11.69,612.0,1.52,0.0,0.0,0.0,0.029
339,0.029,1056.0,13.25,613.0,1.11,0.0,0.0,0.0,0.029
340,0.035,1057.0,16.94,619.0,0.98,0.0,0.0,0.0,0.035
341,0.032,1058.0,14.56,619.0,1.24,0.0,0.0,0.0,0.032
342,0.032,1052.0,15.13,617.0,1.54,0.0,0.0,0.0,0.032
343,0.031,1057.0,13.5,620.0,1.89,0.0,0.0,0.0,0.031
344,0.029,1055.0,13.7,612.0,1.13,0.0,0.0,0.0,0.029
345,0.031,1053.0,14.01,619.0,0.97,0.0,0.0,0.0,0.031
346,0.031,1048.0,15.46,619.0,1.04,0.0,0.0,0.0,0.031
347,0.028,1056.0,15.2,614.0,0.67,0.0,0.0,0.0,0.028
